Feature,Importance
RES.PERCEN_38.22660497,0.0
RES.PERCEN_38.23928617,0.0
RES.PERCEN_38.26580636,0.0
RES.PERCEN_38.29937346,0.0
RES.PERCEN_38.30856626,0.0
RES.PERCEN_38.31240089,0.0
RES.PERCEN_38.32481079,0.0
RES.PERCEN_38.34373064,0.0
RES.PERCEN_38.35590221,0.0
RES.PERCEN_38.35623349,0.0
RES.PERCEN_38.36458597,0.0
RES.PERCEN_38.37613509,0.0
RES.PERCEN_38.37765401,0.0
RES.PERCEN_38.37818638,0.0
RES.PERCEN_39.15637882,0.0
RES.PERCEN_39.18515342,0.0
RES.PERCEN_39.18803252,0.0
RES.PERCEN_40.08388953,0.0
RES.PERCEN_40.13274654,0.0
RES.PERCEN_40.18653057,0.0
RES.PERCEN_40.18882663,0.0
RES.PERCEN_40.19111996,0.0
RES.PERCEN_40.22219654,0.0
RES.PERCEN_40.22865828,0.0
RES.PERCEN_40.26293421,0.0
RES.PERCEN_40.28015747,0.0
RES.PERCEN_40.3037945,0.0
RES.PERCEN_40.32865668,0.0
RES.PERCEN_40.34261979,0.0
RES.PERCEN_40.35673177,0.0
RES.PERCEN_40.44595823,0.0
RES.PERCEN_40.44781518,0.0
RES.PERCEN_40.48148071,0.0
RES.PERCEN_40.48319237,0.0
RES.PERCEN_40.49668385,0.0
RES.PERCEN_40.50409836,0.0
RES.PERCEN_40.5047805,0.0
RES.PERCEN_40.52071034,0.0
RES.PERCEN_40.53088509,0.0
RES.PERCEN_40.54783847,0.0
RES.PERCEN_40.55051139,0.0
RES.PERCEN_40.57327025,0.0
RES.PERCEN_40.63082606,0.0
RES.PERCEN_40.64873696,0.0
RES.PERCEN_40.66580855,0.0
RES.PERCEN_40.69944283,0.0
RES.PERCEN_40.70499949,0.0
RES.PERCEN_40.11886355,0.0
RES.PERCEN_40.04958257,0.0
RES.PERCEN_39.20012672,0.0
RES.PERCEN_40.02965654,0.0
RES.PERCEN_39.21673398,0.0
RES.PERCEN_39.24516929,0.0
RES.PERCEN_39.25644741,0.0
RES.PERCEN_39.25776617,0.0
RES.PERCEN_39.31019345,0.0
RES.PERCEN_39.32285396,0.0
RES.PERCEN_39.33516232,0.0
RES.PERCEN_39.34399413,0.0
RES.PERCEN_39.39886802,0.0
RES.PERCEN_39.42179482,0.0
RES.PERCEN_39.43813224,0.0
RES.PERCEN_39.44290103,0.0
RES.PERCEN_39.45177411,0.0
RES.PERCEN_39.62912568,0.0
RES.PERCEN_39.69181168,0.0
RES.PERCEN_39.70429324,0.0
RES.PERCEN_39.72016826,0.0
RES.PERCEN_39.77130339,0.0
RES.PERCEN_39.79542532,0.0
RES.PERCEN_39.84552352,0.0
RES.PERCEN_39.84733125,0.0
RES.PERCEN_39.85196482,0.0
RES.PERCEN_39.85629227,0.0
RES.PERCEN_39.87575808,0.0
RES.PERCEN_39.88986913,0.0
RES.PERCEN_39.89328957,0.0
RES.PERCEN_39.93187844,0.0
RES.PERCEN_40.00818352,0.0
RES.PERCEN_40.0189851,0.0
RES.PERCEN_37.94564359,0.0
RES.PERCEN_37.91490695,0.0
RES.PERCEN_40.73646747,0.0
RES.PERCEN_36.48154562,0.0
RES.PERCEN_36.26073792,0.0
RES.PERCEN_36.26101325,0.0
RES.PERCEN_36.27235395,0.0
RES.PERCEN_36.29089001,0.0
RES.PERCEN_36.29163469,0.0
RES.PERCEN_36.29956296,0.0
RES.PERCEN_36.30041787,0.0
RES.PERCEN_36.30426237,0.0
RES.PERCEN_36.34277617,0.0
RES.PERCEN_36.41040302,0.0
RES.PERCEN_36.41399882,0.0
RES.PERCEN_36.44974843,0.0
RES.PERCEN_36.46671256,0.0
RES.PERCEN_36.4699626,0.0
RES.PERCEN_36.48440528,0.0
RES.PERCEN_37.91058519,0.0
RES.PERCEN_36.48499269,0.0
RES.PERCEN_36.4868275,0.0
RES.PERCEN_36.52599339,0.0
RES.PERCEN_36.54020182,0.0
RES.PERCEN_36.56443205,0.0
RES.PERCEN_36.56574753,0.0
RES.PERCEN_36.61233491,0.0
RES.PERCEN_36.64349438,0.0
RES.PERCEN_36.6653334,0.0
RES.PERCEN_36.67204784,0.0
RES.PERCEN_36.71481,0.0
RES.PERCEN_36.71603601,0.0
RES.PERCEN_36.75175214,0.0
RES.PERCEN_36.7636444,0.0
RES.PERCEN_36.2377424,0.0
RES.PERCEN_36.23490065,0.0
RES.PERCEN_36.21862651,0.0
RES.PERCEN_36.21527565,0.0
RES.PERCEN_35.82719235,0.0
RES.PERCEN_35.8289048,0.0
RES.PERCEN_35.85581747,0.0
RES.PERCEN_35.86446546,0.0
RES.PERCEN_35.87189235,0.0
RES.PERCEN_35.89096954,0.0
RES.PERCEN_35.92565671,0.0
RES.PERCEN_35.93071148,0.0
